"","artist","song","viewcount","year"
"1016","Kevin Gates","Arm and Hammer             ",48300,2014
"1017","Kevin Gates","Posed To Be In Love             ",159100,2014
"1018","Kevin Gates","Stop Lyin'             ",98400,2014
"1019","Kevin Gates","Wit It             ",69000,2014
"1020","Kevin Gates","Just Want Some Money             ",17300,2014
"1021","Kevin Gates","Again             ",88200,2014
"1022","Kevin Gates","Get Up On My Level             ",95300,2014
"1023","Kodak Black","This Forever             ",23600,2016
"1024","Kodak Black","Testimony             ",118800,2016
"1025","Kodak Black","Patty Cake             ",223100,2016
"1026","Kodak Black","Save You             ",70100,2016
"1027","Kodak Black","Conscience (Ft. Future)             ",162200,2016
"1028","Kodak Black","Corrlinks And JPay             ",74800,2016
"1029","Kodak Black","Reminiscing (Ft. A Boogie wit da Hoodie)             ",60200,2016
"1030","Kodak Black","Side Nigga             ",61900,2016
"1031","Kodak Black","Off the Land             ",50700,2016
"1032","Kodak Black","Top Off Benz (Ft. Young Thug)             ",43000,2016
"1033","Kodak Black","Feeling Like (Ft. Jeezy)             ",27600,2016
"1034","Kodak Black","Why They Call You Kodak             ",38900,2016
"1035","Kodak Black","There He Go             ",557500,2016
"1036","Kodak Black","Painting Pictures [Tracklist + Album Art]             ",13600,2016
"1037","Kodak Black","Tunnel Vision             ",2200000,2016
"1038","Kodak Black","Everything 1K             ",157500,2016
"1039","Kodak Black","Vibin In This Bih (Ft. Gucci Mane)             ",104200,2016
"1040","Kodak Black","Can I             ",129600,2016
"1041","Kodak Black","Slayed (Ft. Boosie Badazz)             ",100900,2016
"1042","Kodak Black","Big Bank             ",56700,2016
"1043","Kodak Black","Gave It All I Got             ",125800,2016
"1044","Kodak Black","Too Many Years (Ft. PnB Rock)             ",367400,2016
"1045","Kodak Black","Today             ",73200,2016
"1046","Kodak Black","Purp             ",86400,2016
"1047","Kodak Black","Young Prodigy             ",141200,2016
"1048","Kodak Black","30             ",31900,2016
"1049","Kodak Black","Letter             ",24600,2016
"1050","Kodak Black","Blood Sweat Tears Revenge             ",24100,2016
"1051","Kodak Black","No Feelings             ",24400,2016
"1052","Kodak Black","Helluva Love             ",20800,2016
"1053","Kodak Black","When Vultures Cry             ",44500,2016
"1054","Kodak Black","Feb 14             ",28000,2016
"1055","Kodak Black","Versatile             ",170500,2016
"1056","Kodak Black","Change My Ways             ",53800,2016
"1057","Kodak Black","6th Sense             ",92600,2016
"1058","Kodak Black","Don't Wanna Breathe             ",149400,2016
"1059","Kodak Black","Need a Break             ",71900,2016
"1060","Kodak Black","First Love             ",50300,2016
"1061","Kodak Black","Unexplainable             ",71700,2016
"1062","Kodak Black","My Klik (Ft. Jackboy & John Wicks)             ",28500,2016
"1063","Kodak Black","Transportin'             ",372400,2016
"1064","Kodak Black","Identity Theft             ",37900,2016
"1065","Kodak Black","Gnarly (Ft. Lil Pump)             ",60400,2016
"1066","Kodak Black","ZEZE (Ft. Offset & Travis Scott)             ",709300,2016
"1067","Kodak Black","Take One             ",67100,2016
"1068","Kodak Black","MoshPit (Ft. Juice WRLD)             ",49800,2016
"1069","Kodak Black","Transgression             ",16600,2016
"1070","Kodak Black","Malcolm X.X.X.             ",83800,2016
"1071","Kodak Black","Calling My Spirit             ",188300,2016
"1072","Kodak Black","In the Flesh             ",18300,2016
"1073","Kodak Black","Close to the Grave             ",35200,2016
"1074","Kodak Black","From the Cradle             ",34600,2016
"1075","Kodak Black","If I'm Lyin, I'm Flyin             ",143600,2016
"1076","Kodak Black","Needed Something             ",21200,2016
"1077","Kodak Black","Could of Been Different             ",46900,2016
"1078","Kodak Black","Running Outta Love             ",67700,2016
"1079","Kodak Black","Bill And Jill             ",40300,2016
"1080","Kodak Black","Hate Being Alone             ",27700,2016
"1081","Kodak Black","Acting Weird             ",34900,2016
"1082","Kodak Black","Codeine Dreaming (Ft. Lil Wayne)             ",420800,2016
"1083","Kodak Black","Why You Always Gotta Go             ",35300,2016
"1084","Kodak Black","Laudy             ",20600,2016
"1085","Kodak Black","Fuck With You (Ft. Tory Lanez)             ",50700,2016
"1086","Kodak Black","I Get Lonely             ",18700,2016
"1087","Kodak Black","Loyal             ",47100,2016
"1088","Kodak Black","Corrupted             ",23600,2016
"1089","Kodak Black","Kicking In             ",18400,2016
"1090","Kodak Black","Call You             ",16900,2016
"1091","Kodak Black","You Do That Shit             ",26100,2016
"1092","Kodak Black","Built My Legacy (Ft. Offset)             ",75100,2016
"1093","Kodak Black","Misunderstood             ",43200,2016
"1094","Kodak Black","Pride             ",27400,2016
"1095","Kodak Black","Up Late             ",19000,2016
"1096","Kodak Black","No CoDefendant             ",32200,2016
"1097","Kodak Black","The Recipe             ",29700,2016
"1098","Kodak Black","Still in the Streets             ",17700,2016
"1099","Kodak Black","Me for Me             ",32800,2016
"1100","Kodak Black","Roll in Peace (Ft. XXXTENTACION)             ",1200000,2016
"1101","Kodak Black","Day For Day             ",98100,2016
"1102","Kodak Black","Coolin And Booted             ",80700,2016
"1103","Kodak Black","Candy Paint (Ft. Bun B)             ",33500,2016
"1104","Kodak Black","No Meds             ",31300,2016
"1105","Kodak Black","Versatile 2             ",31600,2016
"1106","Kodak Black","Cognitive             ",16700,2016
"1107","Kodak Black","Projects (Ft. Birdman)             ",12800,2016
"1108","Kodak Black","Rugrats             ",11600,2016
"1109","Kodak Black","Now Time             ",14100,2016
"1110","Kodak Black","About You Without You             ",24200,2016
"1111","Kodak Black","Up in Here             ",63500,2016
"1112","Kodak Black","U Ain't Never             ",45300,2016
"1113","Kodak Black","Twenty 8             ",32900,2016
"1114","KYLE","Deeper [Bonus] (Ft. Beldina)             ",47000,2017
"1115","KYLE","Lexicon             ",15400,2017
"1116","KYLE","Zoom             ",16500,2017
"1117","KYLE","Games             ",25300,2017
"1118","KYLE","Babies (Ft. Alessia Cara)             ",33900,2017
"1119","KYLE","OpenDoors (Ft. Avery Wilson)             ",15800,2017
"1120","KYLE","Ikuyo (Ft. 2 Chainz & Sophia Black)             ",141600,2017
"1121","KYLE","Playinwitme (Ft. Kehlani)             ",201800,2017
"1122","KYLE","<U+200B>iMissMe (Ft. Khalid)             ",14900,2017
"1123","KYLE","ShipTrip             ",11300,2017
"1124","KYLE","To The Moon             ",29300,2017
"1125","KYLE","<U+200B>iSpy (Ft. Lil Yachty)             ",4300000,2017
"1126","KYLE","The Force             ",29300,2017
"1127","KYLE","Feels Good             ",21200,2017
"1128","KYLE","SummertimeSoul             ",16900,2017
"1129","KYLE","Don't Wanna Fall In Love             ",239800,2017
"1130","KYLE","Endless Summer Symphony             ",37600,2017
"1131","KYLE","Really? Yeah!             ",84500,2017
"1132","KYLE","Deepest Part Of Me (Interlude)             ",6300,2017
"1133","KYLE","SuperDuperHero (Ft. SuperDuperBrick)             ",31900,2017
"1134","KYLE","All 4 You (Ft. Yuna)             ",13000,2017
"1135","KYLE","Remember Me? (Ft. Chance the Rapper)             ",100300,2017
"1136","KYLE","All Alright             ",39900,2017
"1137","KYLE","Dewwutitdoez             ",34700,2017
"1138","KYLE","@FoundBae (Ft. <U+200B>Jesse Rutherford)             ",32700,2017
"1139","KYLE","This Is A Hit             ",27300,2017
"1140","KYLE","Focus On You             ",119600,2017
"1141","KYLE","BANG (Ft. Mr. Man)             ",38300,2017
"1142","KYLE","Raining Love             ",63100,2017
"1143","KYLE","Keep It Real             ",127700,2017
"1144","KYLE","Oceans             ",62000,2017
"1145","KYLE","Love 4 You             ",30900,2017
"1146","KYLE","Sex & Super Smash Bros.             ",109000,2017
"1147","KYLE","When Can We             ",35600,2017
"1148","KYLE","FUN             ",48200,2017
"1149","KYLE","To Do List (Ft. CP)             ",16000,2017
"1150","KYLE","View From Hollywood             ",44500,2017
"1151","KYLE","A Okay             ",17000,2017
"1152","KYLE","GirlsGirlsGirls [Bonus]             ",9100,2017
"1153","KYLE","Ups & Downs             ",56800,2017
"1154","KYLE","Coming, Going? (Ft. Take 6)             ",7500,2017
"1155","KYLE","Rodeo             ",9200,2017
"1156","KYLE","It's Yours             ",14100,2017
"1157","KYLE","Clouds             ",12500,2017
"1158","Lil Bibby","EBT to BET             ",19800,2014
"1159","Lil Bibby","Sleeping on the Floor (Ft. G Herbo)             ",24900,2014
"1160","Lil Bibby","Aww Man (Ft. Future)             ",32800,2014
"1161","Lil Bibby","You Ain't Gang             ",87300,2014
"1162","Lil Bibby","Ridah             ",17200,2014
"1163","Lil Bibby","Came From Nothing             ",27500,2014
"1164","Lil Bibby","Can't Trust a Soul             ",75300,2014
"1165","Lil Bibby","Don't Play With Me             ",14800,2014
"1166","Lil Bibby","Get It Out The Trenches (Ft. Lil Durk)             ",5200,2014
"1167","Lil Bibby","John Snow             ",18300,2014
"1168","Lil Bibby","Never Go Against The Family             ",15600,2014
"1169","Lil Bibby","Steph             ",17300,2014
"1170","Lil Bibby","Word Around Town             ",17600,2014
"1171","Lil Bibby","Ain't Heard Bout You (Ft. G Herbo)             ",225200,2014
"1172","Lil Bibby","Speak To Em (Ft. Common)             ",10200,2014
"1173","Lil Bibby","Misunderstood (Ft. Jeremih & R. Kelly)             ",13000,2014
"1174","Lil Bibby","If He Find Out (Ft. Jacquees & Tink)             ",100300,2014
"1175","Lil Bibby","Made Nigga             ",8600,2014
"1176","Lil Bibby","Things Will Get Brighter             ",11200,2014
"1177","Lil Bibby","I Can't Lie             ",8600,2014
